table,id,candidate_id,column,base_column,base_value_utc,old_value_utc,new_value_utc,old_value_jst,new_value_jst,diff_minutes
CandidateSettingsHistory,cmphpn44j001t1dpcuf3u7209,cmphpmykx001q1dpccwswnnqe,sentAt,createdAt,2026-05-23T02:09:22.339Z,2026-05-23T11:09:19.000Z,2026-05-23T02:09:19.000Z,2026-05-23 20:09:19 JST,2026-05-23 11:09:19 JST,539.94
CandidateSettingsHistory,cmphziwgo002q1dpcqe5a52vm,cmphziqor002n1dpc6wkv7isr,sentAt,createdAt,2026-05-23T06:46:01.944Z,2026-05-23T15:46:00.000Z,2026-05-23T06:46:00.000Z,2026-05-24 00:46:00 JST,2026-05-23 15:46:00 JST,539.97
CandidateSettingsHistory,cmphzlxx2002u1dpcpu71gvus,cmphzlsjy002r1dpcl75ruwkw,sentAt,createdAt,2026-05-23T06:48:23.798Z,2026-05-23T15:48:22.000Z,2026-05-23T06:48:22.000Z,2026-05-24 00:48:22 JST,2026-05-23 15:48:22 JST,539.97
CandidateSettingsHistory,cmpi4dr5n00361dpcy9ruw2so,cmpi4dlxx00331dpcam47zp79,sentAt,createdAt,2026-05-23T09:01:59.867Z,2026-05-23T18:01:57.000Z,2026-05-23T09:01:57.000Z,2026-05-24 03:01:57 JST,2026-05-23 18:01:57 JST,539.95
CandidateSettingsHistory,cmpi7sd1b003z1dpc9amo7za5,cmpi7s8ke003w1dpcgwsib6xr,sentAt,createdAt,2026-05-23T10:37:20.255Z,2026-05-23T19:37:18.000Z,2026-05-23T10:37:18.000Z,2026-05-24 04:37:18 JST,2026-05-23 19:37:18 JST,539.96
CandidateSettingsHistory,cmpi8w52o00451dpcrr699e2r,cmpi8vzk400421dpcclw0d16h,sentAt,createdAt,2026-05-23T11:08:16.176Z,2026-05-23T20:08:14.000Z,2026-05-23T11:08:14.000Z,2026-05-24 05:08:14 JST,2026-05-23 20:08:14 JST,539.96
CandidateSettingsHistory,cmpiao876004j1dpc1r3s70lg,cmpiao3ka004g1dpctpithqgc,sentAt,createdAt,2026-05-23T11:58:06.210Z,2026-05-23T20:58:04.000Z,2026-05-23T11:58:04.000Z,2026-05-24 05:58:04 JST,2026-05-23 20:58:04 JST,539.96
CandidateSettingsHistory,cmpj4pl4000081dnzozode9s7,cmpj4pexf00051dnz8ezzh9du,sentAt,createdAt,2026-05-24T01:58:58.080Z,2026-05-24T10:58:54.000Z,2026-05-24T01:58:54.000Z,2026-05-24 19:58:54 JST,2026-05-24 10:58:54 JST,539.93
CandidateSettingsHistory,cmpjboa6d001f1dnzmizh68pw,cmpjbo5bw001c1dnzhpc4751q,sentAt,createdAt,2026-05-24T05:13:54.565Z,2026-05-24T14:13:51.000Z,2026-05-24T05:13:51.000Z,2026-05-24 23:13:51 JST,2026-05-24 14:13:51 JST,539.94
CandidateSettingsHistory,cmpje6bbk001x1dnzenedt4a8,cmpje66uc001u1dnzokqusibd,sentAt,createdAt,2026-05-24T06:23:55.088Z,2026-05-24T15:23:52.000Z,2026-05-24T06:23:52.000Z,2026-05-25 00:23:52 JST,2026-05-24 15:23:52 JST,539.95
CandidateSettingsHistory,cmpjei0zq00231dnzlxbslgsr,cmpjehvde00201dnz5u53882b,sentAt,createdAt,2026-05-24T06:33:01.574Z,2026-05-24T15:32:58.000Z,2026-05-24T06:32:58.000Z,2026-05-25 00:32:58 JST,2026-05-24 15:32:58 JST,539.94
CandidateSettingsHistory,cmpjlni2r003b1dnzyq2z1353,cmpjlncyh00381dnz6wi01ace,sentAt,createdAt,2026-05-24T09:53:14.307Z,2026-05-24T18:53:13.000Z,2026-05-24T09:53:13.000Z,2026-05-25 03:53:13 JST,2026-05-24 18:53:13 JST,539.98
CandidateSettingsHistory,cmpjmjhh7003k1dnzrwvun3zu,cmpjmjcp6003h1dnzc3dhmrnr,sentAt,createdAt,2026-05-24T10:18:06.523Z,2026-05-24T19:18:05.000Z,2026-05-24T10:18:05.000Z,2026-05-25 04:18:05 JST,2026-05-24 19:18:05 JST,539.97
CandidateSettingsHistory,cmpkffs6j00061dqpr0l88au5,cmpkff6xa00031dqp4vh54xwb,sentAt,createdAt,2026-05-24T23:47:02.635Z,2026-05-25T08:47:01.000Z,2026-05-24T23:47:01.000Z,2026-05-25 17:47:01 JST,2026-05-25 08:47:01 JST,539.97
CandidateSettingsHistory,cmpkqc0u9001w1dqtd1xfxt44,cmpkqbey5001t1dqtx0ugv7lq,sentAt,createdAt,2026-05-25T04:52:03.009Z,2026-05-25T13:52:01.000Z,2026-05-25T04:52:01.000Z,2026-05-25 22:52:01 JST,2026-05-25 13:52:01 JST,539.97
CandidateSettingsHistory,cmpkr8w4500271dqtw6mzugav,cmpkr8akz00241dqtgog05s3q,sentAt,createdAt,2026-05-25T05:17:36.533Z,2026-05-25T14:17:34.000Z,2026-05-25T05:17:34.000Z,2026-05-25 23:17:34 JST,2026-05-25 14:17:34 JST,539.96
CandidateSettingsHistory,cmpkt0i91002l1dqt0uj4v5gx,cmpkszwl3002i1dqt8o3sprwv,sentAt,createdAt,2026-05-25T06:07:04.549Z,2026-05-25T15:07:02.000Z,2026-05-25T06:07:02.000Z,2026-05-26 00:07:02 JST,2026-05-25 15:07:02 JST,539.96
CandidateSettingsHistory,cmpkviigz00331dqtrbenja3c,cmpkvhwq700301dqtg001i6e7,sentAt,createdAt,2026-05-25T07:17:03.875Z,2026-05-25T16:17:02.000Z,2026-05-25T07:17:02.000Z,2026-05-26 01:17:02 JST,2026-05-25 16:17:02 JST,539.97
