sort_order,large,middle,small
1,営業,営業・代理店営業・ルートセールス・MR,営業・企画営業（法人向け）
2,営業,営業・代理店営業・ルートセールス・MR,営業・企画営業（個人向け）
3,営業,営業・代理店営業・ルートセールス・MR,営業マネジャー・営業管理職
4,営業,営業・代理店営業・ルートセールス・MR,代理店営業・パートナーセールス
5,営業,営業・代理店営業・ルートセールス・MR,内勤営業・カウンターセールス
6,営業,営業・代理店営業・ルートセールス・MR,ルートセールス・渉外・外商
7,営業,営業・代理店営業・ルートセールス・MR,海外営業
8,営業,営業・代理店営業・ルートセールス・MR,メディカル営業（MR・MS・その他）
9,営業,営業・代理店営業・ルートセールス・MR,その他営業・代理店営業・ルートセールス・MR関連職
10,営業,人材コーディネーター・カウンセラー,キャリアカウンセラー
11,営業,人材コーディネーター・カウンセラー,人材コーディネーター
12,営業,コールセンター・カスタマーサポート,コールセンター管理・運営
13,営業,コールセンター・カスタマーサポート,カスタマーサポート・サポートデスク
14,営業,コールセンター・カスタマーサポート,テクニカルサポート
15,営業,コールセンター・カスタマーサポート,オペレーター・アポインター
16,販売・フード・アミューズメント,スーパーバイザー・教育担当,スーパーバイザー・エリアマネジャー
17,販売・フード・アミューズメント,スーパーバイザー・教育担当,教育・研修トレーナー
18,販売・フード・アミューズメント,小売・流通,店長・店長候補（小売・流通系）
19,販売・フード・アミューズメント,小売・流通,販売・販売アドバイザー・売り場担当
20,販売・フード・アミューズメント,小売・流通,美容部員
21,販売・フード・アミューズメント,小売・流通,その他小売・流通関連職
22,販売・フード・アミューズメント,フード・アミューズメント,店長・店長候補（フード・アミューズメント系）
23,販売・フード・アミューズメント,フード・アミューズメント,ホール・フロアスタッフ
24,販売・フード・アミューズメント,フード・アミューズメント,調理・調理補助
25,販売・フード・アミューズメント,フード・アミューズメント,その他フード・アミューズメント関連職
26,医療・福祉,医療サービス,管理薬剤師・薬剤師・登録販売者
27,医療・福祉,医療サービス,医師
28,医療・福祉,医療サービス,看護師・准看護師・保健師・助産師
29,医療・福祉,医療サービス,歯科医師
30,医療・福祉,医療サービス,歯科技工士・歯科衛生士
31,医療・福祉,医療サービス,PT（理学療法士）・OT（作業療法士）・ST（言語聴覚士）・ORT（視能訓練士）
32,医療・福祉,医療サービス,マッサージ師・柔道整復師・鍼師・灸師
33,医療・福祉,医療サービス,各種検査技師
34,医療・福祉,医療サービス,臨床心理士・カウンセラー・セラピスト
35,医療・福祉,医療サービス,医療事務・医療秘書
36,医療・福祉,医療サービス,獣医
37,医療・福祉,医療サービス,その他医療サービス関連職
38,医療・福祉,福祉・介護サービス・栄養,介護・福祉事業責任者・施設長
39,医療・福祉,福祉・介護サービス・栄養,ケアマネジャー（介護支援専門員）
40,医療・福祉,福祉・介護サービス・栄養,サービス提供責任者
41,医療・福祉,福祉・介護サービス・栄養,介護職・ヘルパー
42,医療・福祉,福祉・介護サービス・栄養,生活相談員・生活支援員
43,医療・福祉,福祉・介護サービス・栄養,介護系事務職
44,医療・福祉,福祉・介護サービス・栄養,管理栄養士・栄養士・フードコーディネーター
45,医療・福祉,福祉・介護サービス・栄養,その他福祉・介護サービス・栄養関連職
46,企画・経営,マーケティング・企画・宣伝,マーケティングリサーチ・分析
47,企画・経営,マーケティング・企画・宣伝,販促企画・営業企画
48,企画・経営,マーケティング・企画・宣伝,商品企画・商品開発
49,企画・経営,マーケティング・企画・宣伝,広告宣伝
50,企画・経営,マーケティング・企画・宣伝,その他マーケティング・企画・宣伝関連職
51,企画・経営,MD・バイヤー・店舗開発,マーチャンダイザー
52,企画・経営,MD・バイヤー・店舗開発,仕入れ・バイヤー
53,企画・経営,MD・バイヤー・店舗開発,店舗開発・FC開発
54,企画・経営,事業企画・経営企画・エグゼクティブ,事業企画・事業プロデュース
55,企画・経営,事業企画・経営企画・エグゼクティブ,海外事業企画
56,企画・経営,事業企画・経営企画・エグゼクティブ,経営企画
57,企画・経営,事業企画・経営企画・エグゼクティブ,CIO・CTO
58,企画・経営,事業企画・経営企画・エグゼクティブ,経営幹部（CEO・CFO・COO等）
59,企画・経営,FCオーナー・代理店研修生,FCオーナー・代理店研修生
60,建築・土木,設計・積算・測量・構造解析,建設コンサルタント
61,建築・土木,設計・積算・測量・構造解析,測量
62,建築・土木,設計・積算・測量・構造解析,建築設計
63,建築・土木,設計・積算・測量・構造解析,土木設計
64,建築・土木,設計・積算・測量・構造解析,プラント設計
65,建築・土木,設計・積算・測量・構造解析,電気設備設計
66,建築・土木,設計・積算・測量・構造解析,空調設備設計
67,建築・土木,設計・積算・測量・構造解析,その他設計・設備設計
68,建築・土木,設計・積算・測量・構造解析,CADオペレーター（建築）・製図
69,建築・土木,設計・積算・測量・構造解析,積算
70,建築・土木,設計・積算・測量・構造解析,構造解析（建築・土木）
71,建築・土木,施工管理・設備・環境保全,建築施工管理・工事監理者
72,建築・土木,施工管理・設備・環境保全,内装施工管理・工事監理者（リフォーム・住宅・商業施設等）
73,建築・土木,施工管理・設備・環境保全,土木施工管理・工事監理者
74,建築・土木,施工管理・設備・環境保全,造園施工管理・工事監理者
75,建築・土木,施工管理・設備・環境保全,プラント施工管理・工事監理者
76,建築・土木,施工管理・設備・環境保全,電気設備施工管理・工事監理者
77,建築・土木,施工管理・設備・環境保全,空調設備施工管理・工事監理者
78,建築・土木,施工管理・設備・環境保全,管工事施工管理・工事監理者
79,建築・土木,施工管理・設備・環境保全,その他施工管理
80,建築・土木,施工管理・設備・環境保全,設備保全・メンテナンス
81,建築・土木,施工管理・設備・環境保全,環境保全・管理・調査・分析
82,建築・土木,研究開発・品質管理・特許その他,製品・研究開発（建築・土木・プラント・設備）
83,建築・土木,研究開発・品質管理・特許その他,生産技術・生産管理（建築・土木・プラント・設備）
84,建築・土木,研究開発・品質管理・特許その他,品質管理・保証（建築・土木・プラント・設備）
85,ITエンジニア,コンサルタント・アナリスト・プリセールス,システムアナリスト
86,ITエンジニア,コンサルタント・アナリスト・プリセールス,ITアーキテクト
87,ITエンジニア,コンサルタント・アナリスト・プリセールス,システムコンサルタント（業務系）
88,ITエンジニア,コンサルタント・アナリスト・プリセールス,システムコンサルタント（DB・ミドルウェア）
89,ITエンジニア,コンサルタント・アナリスト・プリセールス,システムコンサルタント（ネットワーク・通信）
90,ITエンジニア,コンサルタント・アナリスト・プリセールス,パッケージ導入コンサルタント（ERP・SCM・CRM等）
91,ITエンジニア,コンサルタント・アナリスト・プリセールス,セキュリティコンサルタント
92,ITエンジニア,コンサルタント・アナリスト・プリセールス,プリセールス・セールスエンジニア
93,ITエンジニア,システム開発（WEB・オープン・モバイル系）,プロジェクトマネジャー・リーダー(WEB・オープン・モバイル系）
94,ITエンジニア,システム開発（WEB・オープン・モバイル系）,システムエンジニア（アプリ設計／WEB・オープン・モバイル系）
95,ITエンジニア,システム開発（WEB・オープン・モバイル系）,システムエンジニア（DB・ミドルウェア設計／WEB・オープン・モバイル系）
96,ITエンジニア,システム開発（WEB・オープン・モバイル系）,プログラマー（WEB・オープン・モバイル系）
97,ITエンジニア,システム開発（汎用機系）,プロジェクトマネジャー・リーダー（汎用機系）
98,ITエンジニア,システム開発（汎用機系）,システムエンジニア（アプリ設計／汎用機系）
99,ITエンジニア,システム開発（汎用機系）,システムエンジニア（DB・ミドルウェア設計／汎用機系）
100,ITエンジニア,システム開発（汎用機系）,プログラマー（汎用機系）
101,ITエンジニア,システム開発（組み込み・ファームウェア・制御系）,プロジェクトマネジャー(制御系)
102,ITエンジニア,システム開発（組み込み・ファームウェア・制御系）,システムエンジニア(通信制御ソフト開発／制御系)
