target_date,record_date,machine,pattern_name,subject_name,search_count,upd_date,upd_time
2026-01-26,2026-01-26,1号機,【未送信リスト】開放日_有効職,【未送信用】口コミ4.9オーダーメイド,60,2026-01-26,08:40:00
2026-01-26,2026-01-26,2号機,≪送信済リスト≫20代前半_職種不問_西日本,≪送信済用≫希望を叶える転職,878,2026-01-26,08:40:00
2026-01-26,2026-01-26,3号機,≪送信済リスト≫20代後半_職種不問_西日本,≪送信済用≫マイナビaward受賞_実績あるサポート,850,2026-01-26,08:40:00
2026-01-26,2026-01-26,4号機,≪送信済リスト≫20代前半_有効職_西日本,≪送信済用≫やりなおし就活,405,2026-01-26,08:40:00
2026-01-26,2026-01-26,5号機,≪送信済リスト≫年齢不問_営業職_全国,≪送信済用≫年収＆働きやすさを叶える,665,2026-01-26,08:40:00
2026-01-26,2026-01-26,6号機,≪送信済リスト≫20代後半_有効職_西日本,≪送信済用≫口コミ4.9オーダーメイド,381,2026-01-26,08:40:00
2026-01-26,2026-01-26,1号機,【未送信リスト】開放日_職種不問,【未送信用】口コミ4.9オーダーメイド,77,2026-01-26,12:30:00
2026-01-26,2026-01-26,2号機,≪送信済リスト≫20代後半_職種不問_東日本②,≪送信済用≫希望を叶える転職,942,2026-01-26,16:30:00
2026-01-26,2026-01-26,3号機,≪送信済リスト≫20代前半_職種不問_東日本②,≪送信済用≫マイナビaward受賞_実績あるサポート,1046,2026-01-26,16:30:00
2026-01-26,2026-01-26,4号機,【未送信リスト】既登録_20代前半_職種不問,≪送信済用≫やりなおし就活,155,2026-01-26,17:30:00
2026-01-26,2026-01-26,5号機,【未送信リスト】既登録_20代前半_職種不問,≪送信済用≫年収＆働きやすさを叶える,87,2026-01-26,18:00:00
2026-01-26,2026-01-26,6号機,【未送信リスト】既登録_20代後半_職種不問,≪送信済用≫口コミ4.9オーダーメイド,247,2026-01-26,17:30:00
2026-01-26,2026-01-26,1号機,【未送信リスト】開放日_ログイン7日以内_職種不問,【未送信用】口コミ4.9オーダーメイド,42,2026-01-26,16:00:00
2026-01-26,2026-01-26,1号機,【未送信リスト】既登録_年齢不問_有効職,【未送信用】口コミ4.9オーダーメイド,85,2026-01-26,17:55:00
2026-01-27,2026-01-27,1号機,【未送信リスト】開放日_職種不問,【未送信用】口コミ4.9オーダーメイド,197,2026-01-27,08:00:00
2026-01-27,2026-01-27,2号機,≪送信済リスト≫20代後半_職種不問_東日本②,≪送信済用≫マイナビaward受賞_実績あるサポート,900,2026-01-27,08:00:00
2026-01-27,2026-01-27,3号機,≪送信済リスト≫20代前半_職種不問_東日本②,≪送信済用≫やりなおし就活,1025,2026-01-27,08:10:00
2026-01-27,2026-01-27,4号機,【未送信リスト】既登録_20代前半_職種不問,【未送信用】まずはキャリア相談から,97,2026-01-27,08:10:00
2026-01-27,2026-01-27,5号機,≪送信済リスト≫20代前半_有効職_東日本,≪送信済用≫口コミ4.9あなたに合った仕事,864,2026-01-27,08:10:00
2026-01-27,2026-01-27,6号機,≪送信済リスト≫年齢不問_営業職_全国,≪送信済用≫年収＆働きやすさを叶える,852,2026-01-27,08:15:00
2026-01-27,2026-01-27,1号機,【未送信リスト】既登録_20代前半_職種不問,【未送信用】口コミ4.9オーダーメイド,17,2026-01-27,13:50:00
2026-01-27,2026-01-27,2号機,≪送信済リスト≫20代後半_職種不問_東日本①,≪送信済用≫マイナビaward受賞_実績あるサポート,1710,2026-01-27,16:30:00
2026-01-27,2026-01-27,3号機,≪送信済リスト≫20代前半_職種不問_東日本①,≪送信済用≫やりなおし就活,1407,2026-01-27,16:30:00
2026-01-27,2026-01-27,4号機,≪送信済リスト≫20代後半_有効職_東日本,【未送信用】まずはキャリア相談から,1106,2026-01-27,12:10:00
2026-01-27,2026-01-27,5号機,≪送信済リスト≫20代前半_有効職_西日本,≪送信済用≫口コミ4.9あなたに合った仕事,556,2026-01-27,11:40:00
2026-01-27,2026-01-27,6号機,≪送信済リスト≫20代後半_職種不問_西日本,≪送信済用≫年収＆働きやすさを叶える,1224,2026-01-27,13:50:00
2026-01-27,2026-01-27,1号機,【未送信リスト】既登録_20代後半_職種不問,【未送信用】口コミ4.9オーダーメイド,192,2026-01-27,14:10:00
2026-01-27,2026-01-27,4号機,≪送信済リスト≫20代後半_有効職_西日本,【未送信用】まずはキャリア相談から,557,2026-01-27,14:10:00
2026-01-27,2026-01-27,5号機,≪送信済リスト≫20代前半_有効職_東日本,≪送信済用≫口コミ4.9あなたに合った仕事,1004,2026-01-27,14:20:00
2026-01-27,2026-01-27,6号機,≪送信済リスト≫年齢不問_営業職_全国,≪送信済用≫年収＆働きやすさを叶える,1014,2026-01-27,17:30:00
2026-01-27,2026-01-27,1号機,【未送信リスト】開放日_ログイン7日以内_職種不問,【未送信用】口コミ4.9オーダーメイド,2,2026-01-27,17:40:00
2026-01-28,2026-01-28,1号機,【未送信リスト】開放日_ログイン7日以内_職種不問,【未送信用】口コミ4.9オーダーメイド,211,2026-01-28,08:10:00
2026-01-28,2026-01-28,2号機,≪送信済リスト≫20代後半_職種不問_西日本,【未送信用】最短でベストマッチな紹介,1137,2026-01-28,08:10:00
2026-01-28,2026-01-28,3号機,≪送信済リスト≫20代前半_職種不問_西日本,≪送信済用≫年収＆働きやすさを叶える,1137,2026-01-28,08:10:00
2026-01-28,2026-01-28,4号機,≪送信済リスト≫20代前半_有効職_東日本,≪送信済用≫やりなおし就活,871,2026-01-28,08:15:00
2026-01-28,2026-01-28,5号機,≪送信済リスト≫20代後半_有効職_東日本,≪送信済用≫再オファー,1038,2026-01-28,08:15:00
2026-01-28,2026-01-28,6号機,≪送信済リスト≫20代前半_営業職_全国,≪送信済用≫マイナビaward受賞_実績あるサポート,350,2026-01-28,08:15:00
2026-01-28,2026-01-28,1号機,【未送信リスト】既登録_20代前半_職種不問,【未送信用】口コミ4.9オーダーメイド,106,2026-01-28,12:10:00
2026-01-28,2026-01-28,2号機,≪送信済リスト≫20代前半_職種不問_東日本②,【未送信用】最短でベストマッチな紹介,1219,2026-01-28,13:30:00
2026-01-28,2026-01-28,3号機,≪送信済リスト≫20代後半_職種不問_東日本①,≪送信済用≫年収＆働きやすさを叶える,1682,2026-01-28,13:30:00
2026-01-28,2026-01-28,4号機,≪送信済リスト≫20代前半_有効職_西日本,≪送信済用≫やりなおし就活,608,2026-01-28,13:30:00
2026-01-28,2026-01-28,5号機,≪送信済リスト≫20代後半_有効職_西日本,≪送信済用≫再オファー,573,2026-01-28,13:30:00
2026-01-28,2026-01-28,6号機,≪送信済リスト≫20代後半_営業職_全国,≪送信済用≫マイナビaward受賞_実績あるサポート,425,2026-01-28,13:30:00
2026-01-28,2026-01-28,1号機,【未送信リスト】既登録_20代後半_職種不問,【未送信用】口コミ4.9オーダーメイド,92,2026-01-28,14:20:00
2026-01-28,2026-01-28,4号機,≪送信済リスト≫20代前半_有効職_東日本,≪送信済用≫やりなおし就活,1057,2026-01-28,18:00:00
2026-01-28,2026-01-28,5号機,≪送信済リスト≫20代後半_有効職_東日本,≪送信済用≫再オファー,1246,2026-01-28,18:00:00
