excel_row,machine_group,name,regist_date,last_login,residence,education_min,grad_year_from,grad_year_to,age_max,age_min,company_count,job_category,job_category_priority,work_location,work_location_priority,transfer_timing,own_send
5,1,【未送信】開放日_東日本_学歴不問_15-25_経験3社_エリア不順,7日以内,1日以内,東日本,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
6,1,【未送信】開放日_全国_学歴不問_15-25_経験3社_エリア不順,7日以内,1日以内,全国,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
7,1,【未送信】開放日_全国_学歴不問_15-26_経験3社_エリア不順,7日以内,1日以内,全国,,2015,2026,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
8,1,【送信済】開放日_東日本_学歴不問_15-25_経験3社_エリア不順,7日以内,1日以内,東日本,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
9,1,【未送信】既登録_東日本_学歴不問_15-25_経験2社_エリア不順,8日以降,1日以内,東日本,,2015,2025,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
10,1,【未送信】既登録_東日本_学歴不問_19-25_経験2社_エリア第2,8日以降,1日以内,東日本,,2019,2025,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,第二希望,,含まない
11,1,【未送信】既登録_東日本_学歴不問_19-25_経験3社_エリア不順,8日以降,1日以内,東日本,,2019,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
12,1,【未送信】既登録_東日本_学歴不問_15-25_経験3社_エリア不順,8日以降,1日以内,東日本,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
13,1,【未送信】既登録_東日本_学歴不問_15-18_経験3社_エリア不順,8日以降,1日以内,東日本,,2015,2018,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
15,2,【未送信】開放日_西日本_学歴不問_15-25_経験3社_エリア不順,7日以内,1日以内,西日本,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
16,2,【送信済】開放日_全国_学歴不問_15-25_経験3社_エリア不順,7日以内,1日以内,西日本,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
17,2,【未送信】既登録_全国_学歴不問_15-25_経験2社_エリア第2,8日以降,1日以内,全国,,2015,2025,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,第二希望,,含まない
18,2,【未送信】既登録_全国_学歴不問_15-25_経験2社_エリア不順,8日以降,1日以内,全国,,2015,2025,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
19,2,【未送信】既登録_西日本_学歴不問_15-25_経験3社_エリア不順,8日以降,1日以内,西日本,,2015,2026,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,第二希望,,含まない
20,2,【送信済】開放日_西日本_学歴不問_15-25_経験3社_エリア不順,7日以内,1日以内,西日本,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
21,2,【未送信】既登録_西日本_学歴不問_19-25_経験3社_エリア不順,8日以降,1日以内,西日本,,2019,2025,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,第二希望,,含まない
22,2,【未送信】既登録_西日本_学歴不問_15-25_経験3社_エリア不順,8日以降,1日以内,西日本,,2019,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
23,2,【未送信】既登録_西日本_学歴不問_15-18_経験3社_エリア不順,8日以降,1日以内,西日本,,2015,2018,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,含まない
25,3,≪送信済≫開放日_東日本_学歴不問_15-25_経験3社_エリア不順,7日以内,1日以内,東日本,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
26,3,≪送信済≫登録2日前_東日本_学歴不問_15-25_経験3社_エリア不順,2日以内,1日以内,東日本,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
27,3,≪送信済≫既登録_全国_学歴不問_24-25_経験1社_エリア不順,8日以降,1日以内,全国,,2024,2025,,,～1社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,-,のみ
28,3,≪送信済≫既登録_東日本_学歴不問_20-25_経験2社_エリア不順,8日以降,1日以内,東日本,,2020,2025,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,-,のみ
29,3,≪送信済≫既登録_東日本_学歴不問_24-25_経験2社_エリア不順,8日以降,1日以内,東日本,,2024,2025,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,-,のみ
30,3,≪送信済≫既登録_東日本_学歴不問_23-24_経験1社_エリア不順,8日以降,1日以内,東日本,,2023,24,,,～1社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,-,のみ
31,3,≪送信済≫既登録_東日本_学歴不問_23-23_経験2社_エリア不順,8日以降,1日以内,東日本,,2023,2023,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,-,のみ
32,3,≪送信済≫既登録_東日本_学歴不問_21-22_経験2社_エリア不順,8日以降,1日以内,東日本,,2021,2022,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,-,のみ
33,3,≪送信済≫既登録_東日本_学歴不問_21-23_経験2社_エリア第１,8日以降,1日以内,東日本,,2021,2023,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,第一希望,-,のみ
34,3,≪送信済≫既登録_東日本_学歴不問_19-20_経験3社_エリア不順,8日以降,1日以内,東日本,,2019,2020,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,-,のみ
35,3,≪送信済≫既登録_東日本_学歴不問_15-18_経験3社_エリア不順,8日以降,1日以内,東日本,,2015,2018,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,-,のみ
37,4,≪送信済≫開放日_西日本_学歴不問_15-25_経験3社_エリア不順,7日以内,1日以内,西日本,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
38,4,≪送信済≫登録2日前_西日本_学歴不問_15-25_経験3社_エリア不順,2日以内,1日以内,西日本,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
39,4,≪送信済≫既登録_西日本_学歴不問_20-25_経験2社_エリア第2,8日以降,1日以内,西日本,,2020,2025,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,第二希望,,のみ
40,4,≪送信済≫既登録_西日本_学歴不問_24-25_経験2社_エリア不順,8日以降,1日以内,西日本,,2024,2025,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
41,4,≪送信済≫既登録_全国_学歴不問_22-23_経験1社_エリア不順,8日以降,1日以内,全国,,2022,2023,,,～1社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
42,4,≪送信済≫既登録_西日本_学歴不問_23-24_経験1社_エリア不順,8日以降,1日以内,西日本,,2023,2024,,,～1社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
43,4,≪送信済≫既登録_西日本_学歴不問_22-23_経験2社_エリア不順,8日以降,1日以内,西日本,,2022,2023,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
44,4,≪送信済≫既登録_西日本_学歴不問_21-23_経験2社_エリア第１,8日以降,1日以内,西日本,,2021,2023,,,～２社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,第一希望,-,のみ
45,4,≪送信済≫既登録_西日本_学歴不問_19-21_経験3社_エリア不順,8日以降,1日以内,西日本,,2019,2021,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
46,4,≪送信済≫既登録_西日本_学歴不問_15-18_経験3社_エリア不順,8日以降,1日以内,西日本,,2015,2018,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
48,ALL,≪送信済≫既登録_全国_学歴不問_25-25_経験1社_エリア不順,8日以降,1日以内,西日本,,2025,2025,,,～1社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
49,ALL,≪送信済≫既登録_全国_学歴不問_24-24_経験1社_エリア不順,8日以降,1日以内,西日本,,2024,2024,,,～1社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
50,ALL,≪送信済≫既登録_全国_学歴不問_23-23_経験1社_エリア不順,8日以降,1日以内,西日本,,2023,2023,,,～1社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
51,ALL,≪送信済≫既登録_全国_学歴不問_21-22_経験2社_エリア不順,8日以降,1日以内,西日本,,2021,2022,,,～1社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,,,のみ
52,ALL,【未送信リスト】開放日_登録1日ログイン1日以内_職種不問,1日以内,1日以内,全国,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,-,-,含まない
53,ALL,【未送信リスト】開放日_登録3日ログイン1日以内_職種不問,3日以内,1日以内,全国,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,-,-,含まない
54,ALL,【未送信リスト】開放日_ログイン7日以内_職種不問,7日以内,1日以内,全国,,2015,2025,,,～3社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,-,-,含まない
55,ALL,【未送信リスト】既登録_ログイン3日以内_職種不問,-,3日以内,全国,,2022,2025,,,～1社,指定なし,-,首都圏/愛知/大阪/兵庫/京都,第一希望,～半年以内,含まない
57,LEGACY,≪未送信リスト≫登録日7日以内_希望勤務地空白_有効エリア,7日以内,１日以内,有効,-,2018,2025,32,19,～3社,-,-,-,第二希望,-,含まない
