id,candidate_id,candidate_number,external_job_id,response,responded_at,created_at,updated_at,stale_reason
cmobjckfb00451dpfif20gt3n,cmo2tcd8a001i1dqb2zit3e5k,5004328,3992,INTERESTED,2026-04-23T13:47:36.533Z,2026-04-23T13:46:53.159Z,2026-05-02T22:51:34.040Z,EXCLUDED
cmobjcn7s00461dpfadmlkp4g,cmo2tcd8a001i1dqb2zit3e5k,5004328,3994,INTERESTED,2026-04-23T13:47:36.533Z,2026-04-23T13:46:56.776Z,2026-05-02T22:51:34.104Z,EXCLUDED
cmobjcr1e00471dpfv3a9wzum,cmo2tcd8a001i1dqb2zit3e5k,5004328,3998,INTERESTED,2026-04-23T13:47:36.533Z,2026-04-23T13:47:01.730Z,2026-05-02T22:51:34.167Z,EXCLUDED
cmobjcyy700481dpf7t4i4l7e,cmo2tcd8a001i1dqb2zit3e5k,5004328,4011,INTERESTED,2026-04-23T13:47:36.533Z,2026-04-23T13:47:11.983Z,2026-05-02T22:51:34.227Z,EXCLUDED
cmobjd33l00491dpf62skghau,cmo2tcd8a001i1dqb2zit3e5k,5004328,4016,INTERESTED,2026-04-23T13:47:36.533Z,2026-04-23T13:47:17.361Z,2026-05-02T22:51:34.294Z,EXCLUDED
cmooxrq3z00531dmrzhgkytap,cmnyah8sc00911do9lsxpgo1t,5004338,3720,INTERESTED,2026-04-16T01:02:44.567Z,2026-05-02T22:51:35.279Z,2026-05-02T22:51:35.279Z,EXCLUDED
cmooxrqfr00561dmryrpxsqh7,cmnyah8sc00911do9lsxpgo1t,5004338,3708,INTERESTED,2026-04-16T01:02:44.567Z,2026-05-02T22:51:35.703Z,2026-05-02T22:51:35.703Z,EXCLUDED
cmooxrqhm00571dmrfgh8vqwg,cmnyah8sc00911do9lsxpgo1t,5004338,3712,INTERESTED,2026-04-16T01:02:44.567Z,2026-05-02T22:51:35.770Z,2026-05-02T22:51:35.770Z,EXCLUDED
cmooxrqjd00581dmrywcwylrg,cmnyah8sc00911do9lsxpgo1t,5004338,3718,INTERESTED,2026-04-16T01:02:44.567Z,2026-05-02T22:51:35.833Z,2026-05-02T22:51:35.833Z,EXCLUDED
cmp95q0tv001h1dphmvocxb1h,cmnyah8sc00911do9lsxpgo1t,5004338,5201,WANT_TO_APPLY,2026-05-17T11:59:34.973Z,2026-05-17T02:29:36.307Z,2026-05-17T11:59:35.040Z,CLEARED(IN_SELECTION)
